Running single thread with 1 workers
finished   (147-0:0) [] [ '147', '40' ]
finished   (148-0:0) [] [ '148', '10' ]
finished   (149-0:0) [] [ '149', '150' ]
finished   (151-0:0) [] [ '151', '76' ]
finished   (152-0:0) [] [ '152', '98' ]
finished   (153-0:0) [] [ '153', '10' ]
finished   (154-0:0) [] [ '154', '155' ]
finished   (156-0:0) [] [ '156', '10' ]
finished   (157-0:0) [] [ '157', '40' ]
finished   (158-0:0) [] [ '158', '159' ]
finished   (160-0:0) [] [ '160', '98' ]
finished   (161-0:0) [] [ '161', '10' ]
finished   (162-0:0) [] [ '162', '10' ]
finished   (163-0:0) [] [ '163', '10' ]
finished   (88-0:0) [] [ '88', '164' ]
finished   (165-0:0) [] [ '165', '10' ]
finished   (95-1:0) [] [ '95', '164' ]
finished   (166-0:0) [] [ '166', '167' ]
finished   (168-0:0) [] [ '168', '167' ]
finished   (99-1:0) [] [ '99', '164' ]
finished   (169-0:0) [] [ '169', '10' ]
finished   (79-1:0) [] [ '79', '164' ]
finished   (170-0:0) [] [ '170', '159' ]
finished   (171-0:0) [] [ '171', '167' ]
finished   (79-2:0) [] [ '79', '164' ]
finished   (172-0:0) [] [ '172', '167' ]
finished   (173-0:0) [] [ '173', '92' ]
finished   (105-1:0) [] [ '105', '164' ]
finished   (174-0:0) [] [ '174', '167' ]
finished   (175-0:0) [] [ '175', '164' ]
finished   (176-0:0) [] [ '176', '167' ]
finished   (177-0:0) [] [ '177', '10' ]
finished   (178-0:0) [] [ '178', '10' ]
finished   (179-0:0) [] [ '179', '10' ]
finished   (180-0:0) [] [ '180', '181' ]
finished   (182-0:0) [] [ '182', '181' ]
finished   (183-0:0) [] [ '183', '184' ]
finished   (185-0:0) [] [ '185', '181' ]
finished   (186-0:0) [] [ '186', '10' ]
finished   (187-0:0) [] [ '187', '10' ]
finished   (32-0:0) [] [ '32', '188' ]
finished   (76-8:0) [] [ '76', '189' ]
finished   (51-1:0) [] [ '51', '167' ]
finished   (190-0:0) [] [ '190', '191' ]
finished   (71-1:0) [] [ '71', '167' ]
finished   (192-0:0) [] [ '192', '164' ]
finished   (193-0:0) [] [ '193', '10' ]
finished   (53-1:0) [] [ '53', '168' ]
finished   (73-1:0) [] [ '73', '168' ]
finished   (194-0:0) [] [ '194', '195' ]
finished   (196-0:0) [] [ '196', '10' ]
finished   (81-1:0) [] [ '81', '83' ]
finished   (60-1:0) [] [ '60', '167' ]
finished   (197-0:0) [] [ '197', '54' ]
finished   (192-1:0) [] [ '192', '164' ]
finished   (198-0:0) [] [ '198', '199' ]
finished   (43-1:0) [] [ '43', '181' ]
finished   (200-0:0) [] [ '200', '98' ]
finished   (1-10:0) [] [ '1', '201' ]
finished   (61-1:0) [] [ '61', '181' ]
finished   (202-0:0) [] [ '202', '10' ]
finished   (201-0:0) [] [ '201', '54' ]
finished   (203-0:0) [] [ '203', '10' ]
finished   (44-1:0) [] [ '44', '131' ]
finished   (39-2:0) [] [ '39', '181' ]
finished   (204-0:0) [] [ '204', '29' ]
finished   (141-1:0) [] [ '141', '205' ]
finished   (141-2:0) [] [ '141', '205' ]
finished   (40-0:0) [] [ '40', '206' ]
finished   (40-1:0) [] [ '40', '207' ]
finished   (175-1:0) [] [ '175', '192' ]
finished   (40-2:0) [] [ '40', '208' ]
finished   (209-0:0) [] [ '209', '210' ]
finished   (211-0:0) [] [ '211', '205' ]
finished   (212-0:0) [] [ '212', '29' ]
finished   (213-0:0) [] [ '213', '206' ]
finished   (214-0:0) [] [ '214', '215' ]
finished   (216-0:0) [] [ '216', '206' ]
finished   (217-0:0) [] [ '217', '218' ]
finished   (219-0:0) [] [ '219', '220' ]
finished   (221-0:0) [] [ '221', '218' ]
finished   (222-0:0) [] [ '222', '218' ]
finished   (223-0:0) [] [ '223', '224' ]
finished   (225-0:0) [] [ '225', '226' ]
finished   (227-0:0) [] [ '227', '228' ]
